13:07:57 Feb 01 2016
Time,WPNo,LegMode,Dist2Go,Hdg2Go,DistLt,DistRt,Dist,Hdg,FwdBk,LtRt,IR Angle,IR Range,LoopTime,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 134, 6, 338, 0.00,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 134, 6, 1137, 7.88,
13:07:57, 1, Line, 998, 1, 0, 4, 1, 1, 106, 134, 6, 108, 6.94,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 134, 6, 532, 7.08,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 125, 6, 16, 7.17,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 125, 6, 1975, 7.03,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 134, 7, 1137, 7.00,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 134, 7, 108, 10.87,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 125, 7, 338, 7.12,
13:07:57, 1, Line, 999, 0, 0, 0, 0, 0, 106, 134, 7, 108, 7.05,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 134, 7, 448, 7.33,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 125, 7, 1370, 7.03,
13:07:57, 1, Line, 1000, 0, 0, 0, 0, 0, 106, 125, 7, 108, 7.03,
13:07:57, 1, Line, 999, 0, 0, 0, 0, 0, 106, 134, 8, 108, 7.09,
13:07:57, 1, Line, 999, 0, 0, 0, 0, 0, 106, 134, 8, 1317, 8.78,
13:07:57, 1, Line, 996, 0, 1, 4, 3, 0, 106, 134, 8, 448, 7.04,
13:07:57, 1, Line, 996, 0, 1, 4, 3, 0, 106, 134, 8, 1763, 7.16,
13:07:57, 1, Line, 992, 0, 9, 6, 7, 0, 106, 117, 8, 1370, 7.06,
13:07:57, 1, Line, 994, 0, 3, 7, 5, 0, 106, 134, 8, 108, 7.22,
13:07:57, 1, Line, 994, 1, 2, 8, 5, 1, 106, 134, 8, 1790, 7.04,
13:07:57, 1, Line, 990, 0, 8, 11, 9, 0, 106, 134, 9, 1728, 7.74,
13:07:57, 1, Line, 988, 0, 10, 12, 11, 0, 106, 134, 9, 2103, 10.09,
13:07:57, 1, Line, 987, 0, 11, 14, 12, 0, 106, 134, 9, 183, 7.09,
13:07:57, 1, Line, 985, 0, 13, 15, 14, 0, 106, 134, 9, 108, 7.22,
13:07:57, 1, Line, 983, 0, 15, 17, 16, 0, 106, 134, 9, 108, 7.06,
13:07:57, 1, Line, 982, 0, 16, 18, 17, 0, 106, 134, 9, 1997, 7.15,
13:07:57, 1, Line, 980, 0, 20, 19, 19, 0, 106, 117, 9, 1521, 7.11,
13:07:57, 1, Line, 979, 1, 23, 18, 20, -1, 106, 117, 10, 108, 8.96,
13:07:57, 1, Line, 976, 1, 26, 21, 23, -1, 106, 117, 10, 108, 6.98,
13:07:57, 1, Line, 972, 1, 29, 24, 27, -1, 106, 117, 10, 338, 10.48,
13:07:57, 1, Line, 972, 1, 30, 24, 27, -1, 106, 117, 10, 832, 7.04,
13:07:57, 1, Line, 968, 1, 34, 28, 31, -1, 106, 117, 10, 2244, 7.21,
13:07:57, 1, Line, 965, 1, 36, 31, 34, -1, 106, 117, 310, 5034, 7.23,
13:07:57, 1, Line, 962, 1, 39, 34, 37, -1, 106, 117, 11, 108, 7.46,
13:07:57, 1, Line, 960, 0, 40, 37, 39, 0, 106, 117, 11, 2174, 10.45,
13:07:57, 1, Line, 957, 0, 44, 40, 42, 0, 106, 117, 11, 973, 7.04,
13:07:57, 1, Line, 955, 0, 45, 43, 44, 0, 106, 117, 11, 1997, 7.17,
13:07:57, 1, Line, 951, 0, 49, 46, 48, 0, 106, 117, 11, 108, 7.24,
13:07:57, 1, Line, 948, 0, 53, 50, 51, 0, 106, 117, 11, 108, 9.19,
13:07:57, 1, Line, 943, 0, 57, 55, 56, 0, 106, 117, 11, 1918, 10.88,
13:07:57, 1, Line, 942, 0, 58, 57, 57, 0, 106, 117, 11, 338, 6.98,
13:07:57, 1, Line, 937, 0, 63, 60, 62, 0, 106, 117, 12, 108, 7.28,
13:07:57, 1, Line, 935, 0, 66, 62, 64, 0, 106, 117, 12, 108, 7.25,
13:07:57, 1, Line, 931, 0, 69, 67, 68, 0, 106, 117, 12, 108, 7.23,
13:07:57, 1, Line, 928, 0, 73, 69, 71, 0, 106, 117, 12, 563, 10.62,
13:07:57, 1, Line, 922, 0, 78, 76, 77, 0, 106, 117, 12, 108, 8.81,
13:07:57, 1, Line, 919, 0, 81, 78, 80, 0, 106, 117, 13, 108, 10.56,
13:07:57, 1, Line, 916, 0, 84, 81, 83, 0, 106, 117, 13, 108, 7.06,
13:07:57, 1, Line, 913, 0, 87, 85, 86, 0, 106, 117, 13, 2103, 7.09,
13:07:57, 1, Line, 910, 0, 90, 89, 89, 0, 106, 117, 13, 1975, 7.28,
13:07:57, 1, Line, 908, 0, 92, 91, 92, 0, 106, 117, 13, 108, 7.31,
13:07:57, 1, Line, 903, 0, 97, 95, 96, 0, 106, 117, 13, 532, 7.02,
13:07:57, 1, Line, 901, 0, 99, 97, 98, 0, 106, 117, 13, 108, 7.85,
13:07:57, 1, Line, 896, 0, 103, 103, 103, 0, 106, 117, 13, 1119, 7.00,
13:07:57, 1, Line, 893, 0, 106, 105, 106, 0, 106, 117, 14, 1763, 7.25,
13:07:57, 1, Line, 889, 0, 110, 110, 110, 0, 106, 125, 14, 973, 7.16,
13:07:57, 1, Line, 887, 0, 112, 112, 112, 0, 106, 125, 14, 108, 7.00,
13:07:57, 1, Line, 879, 4, 112, 129, 120, 4, 106, 134, 14, 108, 7.03,
13:07:57, 1, Line, 881, 0, 117, 118, 118, 0, 106, 134, 318, 5132, 7.69,
13:07:57, 1, Line, 876, 0, 123, 123, 123, 0, 106, 125, 14, 1176, 10.65,
13:07:57, 1, Line, 873, 0, 126, 127, 126, 0, 106, 134, 14, 338, 7.19,
13:07:57, 1, Line, 871, 0, 127, 129, 128, 0, 106, 134, 15, 532, 7.13,
13:07:57, 1, Line, 867, 0, 131, 133, 132, 0, 106, 134, 15, 532, 7.11,
13:07:57, 1, Line, 873, 3, 119, 134, 126, 3, 106, 134, 15, 108, 7.04,
13:07:57, 1, Line, 862, 3, 138, 138, 138, 0, 106, 125, 15, 1591, 7.17,
13:07:57, 1, Line, 858, 3, 141, 141, 141, 0, 106, 125, 15, 2103, 8.32,
13:07:57, 1, Line, 863, 3, 128, 143, 136, 3, 106, 134, 15, 108, 7.16,
