,time,fwd,trn,oL,oR
1456764775,0,0,0,0,0
1456764775,0,167,127,0,0
1456764775,0.059999943,167,127,0,0
1456764775,0.119999886,167,127,0,0
1456764775,0.180000067,167,87,0,0
1456764775,0.24000001,167,87,0,0
1456764775,0.299999952,167,87,0,0
1456764775,0.359999895,167,87,0,0
1456764775,0.420000076,167,87,0,0
1456764775,0.480000019,167,87,0,0
1456764776,0.539999962,167,87,0,0
1456764776,0.599999905,167,87,0,0
1456764776,0.660000086,167,87,0,0
1456764776,0.720000029,167,87,0,1
1456764776,0.779999971,167,88.26250746,0,2
1456764776,0.839999914,167,89.96276271,0,3
1456764776,1.039999962,167,89.96276271,0,4
1456764776,1.099999905,167,89.96276271,0,4
1456764776,1.160000086,167,94.76808309,0,6
1456764776,1.220000029,167,96.33800934,0,7
1456764776,1.289999962,167,97.88210179,0,8
1456764776,1.339999914,167,97.88210179,0,8
1456764776,1.400000095,167,97.88210179,0,9
1456764776,1.460000038,167,99.40049427,0,9
1456764777,1.519999981,167,99.31464085,0,10
1456764777,1.579999924,167,102.2204428,0,11
1456764777,1.639999866,167,103.6352311,0,12
1456764777,1.700000048,167,103.9686832,0,12
1456764777,1.75999999,167,103.9686832,0,13
1456764777,1.829999924,167,106.6324967,0,14
1456764777,1.879999876,167,107.9265832,0,15
1456764777,1.940000057,167,109.1956804,0,16
1456764777,2,167,110.4399749,0,17
1456764777,2.059999943,167,110.4399749,0,18
1456764777,2.119999886,167,111.6596701,0,19
1456764777,2.180000067,167,114.3022145,0,20
1456764777,2.24000001,167,115.4305973,0,21
1456764777,2.299999952,167,115.4305973,0,22
1456764777,2.359999895,167,117.6160083,0,23
1456764777,2.420000076,167,117.6160083,0,24
1456764777,2.480000019,167,118.6736673,0,25
1456764778,2.539999962,167,120.8777212,0,26
1456764778,2.609999895,167,120.8777212,0,27
1456764778,2.660000086,167,121.8466378,0,28
1456764778,2.720000029,167,122.7934944,0,29
1456764778,2.789999962,167,124.6910715,0,30
1456764778,2.849999905,167,125.5511159,0,31
1456764778,2.910000086,167,126.3907348,0,33
1456764778,2.970000029,166.1593401,127.2106599,0,34
1456764778,3.029999971,162.8520063,127.9779937,0,35
1456764778,3.089999914,162.8520063,127.9779937,0,36
1456764778,3.150000095,167,167,0,37
1456764778,3.210000038,167,167,0,37
1456764778,3.269999981,167,167,0,39
